index_date,index_place,index_product,index_value,base_volume,base_amount,base_trades
2018-01-09,DAL,DTL,0.0,0,0,0
2018-01-09,DAL,DTM,0.0,0,0,0
2018-01-09,DAL,DTZ,47352.0,2020,95652320,24
2018-01-09,DAL,MZT,12890.0,3315,42730545,20
2018-01-09,DAL,PRM,43012.0,1560,67098900,18
2018-01-09,DAL,REG,41513.0,5700,236625840,57
2018-01-09,DAL,TRD,46414.0,1430,66373385,19
2018-01-09,EVR,DTL,0.0,0,0,0
2018-01-09,EVR,DTM,39652.0,7450,295411505,75
2018-01-09,EVR,DTZ,45568.0,6500,296193755,54
2018-01-09,EVR,MZT,11806.0,5980,70602870,70
2018-01-09,EVR,PRM,40627.0,13020,528974940,147
2018-01-09,EVR,REG,40245.0,20460,823415400,182
2018-01-09,EVR,SUG,19025.0,835,15886000,14
2018-01-09,EVR,TRD,42566.0,1733,73768195,18
2018-01-09,SIB,DTL,0.0,0,0,0
2018-01-09,SIB,DTM,0.0,0,0,0
2018-01-09,SIB,DTZ,46844.0,3580,167704040,31
2018-01-09,SIB,MZT,12309.0,3575,44007795,24
2018-01-09,SIB,PRM,40245.0,4620,185934780,48
2018-01-09,SIB,REG,40240.0,10680,429766380,94
2018-01-09,SIB,SUG,17578.0,1324,23273472,17
2018-01-09,SIB,TRD,45303.0,1815,82225460,21
2018-01-10,DAL,DTL,0.0,0,0,0
2018-01-10,DAL,DTM,0.0,0,0,0
2018-01-10,DAL,DTZ,47517.0,1965,93371275,25
2018-01-10,DAL,MZT,13748.0,4875,67022995,39
2018-01-10,DAL,PRM,43685.0,1680,73392060,22
2018-01-10,DAL,REG,41690.0,5880,245141940,64
2018-01-10,DAL,TRD,46125.0,1950,89944010,18
2018-01-10,EVR,DTL,40529.0,500,20264600,5
2018-01-10,EVR,DTM,39890.0,8225,328101505,75
2018-01-10,EVR,DTZ,45432.0,10075,457729220,76
2018-01-10,EVR,MZT,11290.0,5395,60914620,69
2018-01-10,EVR,PRM,40895.0,12300,503014740,139
2018-01-10,EVR,REG,40686.0,22265,905875920,223
2018-01-10,EVR,SUG,19537.0,799,15610350,18
2018-01-10,EVR,TRD,41992.0,2045,85874695,19
2018-01-10,SIB,DTL,0.0,0,0,0
2018-01-10,SIB,DTM,0.0,0,0,0
2018-01-10,SIB,DTZ,46902.0,3460,162280960,29
2018-01-10,SIB,MZT,11852.0,5655,67023645,46
2018-01-10,SIB,PRM,40553.0,5460,221424180,63
2018-01-10,SIB,REG,40497.0,11525,466731960,125
2018-01-10,SIB,SUG,17937.0,1225,21973154,18
2018-01-10,SIB,TRD,44793.0,2530,113327150,23
2018-01-11,DAL,DTL,0.0,0,0,0
2018-01-11,DAL,DTM,0.0,0,0,0
2018-01-11,DAL,DTZ,48100.0,2225,107024720,24
2018-01-11,DAL,MZT,14126.0,4355,61522175,36
2018-01-11,DAL,PRM,43695.0,1560,68165040,22
2018-01-11,DAL,REG,41334.0,5100,210804240,54
2018-01-11,DAL,TRD,45879.0,2340,107357900,23
2018-01-11,EVR,DTL,40504.0,400,16201800,4
2018-01-11,EVR,DTM,40398.0,9430,380960160,87
2018-01-11,EVR,DTZ,45339.0,6695,303549610,53
2018-01-11,EVR,MZT,11287.0,3705,41821650,36
2018-01-11,EVR,PRM,41670.0,12840,535052880,141
2018-01-11,EVR,REG,41186.0,20230,833196180,182
